City,Vehicle Type,Weather,Economic Condition,Day Of Week,Hour Of Day,Speed,Is Peak Hour,Random Event Occurred,Energy Consumption,Traffic Density
Ecoopolis,Car,Electromagnetic Storm,Booming,Friday,1,50.1619,0,0,50.1619,0.3367
Neuroburg,Autonomous Vehicle,Snowy,Stable,Friday,6,78.66,0,0,83.6363,0.083
TechHaven,Autonomous Vehicle,Rainy,Booming,Tuesday,10,68.8648,0,0,65.8993,0.2796
Ecoopolis,Drone,Snowy,Booming,Saturday,22,81.0738,0,0,40.5369,0.144
Neuroburg,Autonomous Vehicle,Clear,Booming,Sunday,1,38.3036,0,0,43.5268,0.0942
Ecoopolis,Drone,Electromagnetic Storm,Stable,Tuesday,1,85.0376,0,0,42.5188,0.2461
MetropolisX,Drone,Electromagnetic Storm,Recession,Tuesday,8,65.4223,1,0,31.3026,0.2133
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Booming,Monday,19,73.8652,0,0,60.414,0.0743
Neuroburg,Drone,Snowy,Stable,Wednesday,18,86.6361,1,0,41.4527,0.123
TechHaven,Autonomous Vehicle,Rainy,Stable,Sunday,12,32.0734,1,0,24.5538,0.2653
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Stable,Friday,5,38.835,0,0,37.1627,0.2496
MetropolisX,Autonomous Vehicle,Rainy,Recession,Wednesday,3,78.362,0,0,74.9875,0.0981
MetropolisX,Drone,Solar Flare,Recession,Thursday,4,45.6205,0,0,25.9207,0.2082
SolarisVille,Autonomous Vehicle,Clear,Recession,Wednesday,2,93.69,0,0,83.28,0.0699
Neuroburg,Autonomous Vehicle,Electromagnetic Storm,Stable,Wednesday,0,85.4313,0,0,81.7525,0.1152
MetropolisX,Drone,Rainy,Recession,Tuesday,17,80.1602,1,0,38.3542,0.2826
TechHaven,Drone,Snowy,Recession,Friday,23,80.9309,0,0,48.4036,0.0997
TechHaven,Drone,Snowy,Recession,Tuesday,14,24.6707,0,0,14.7552,0.0878
AquaCity,Autonomous Vehicle,Clear,Recession,Wednesday,0,22.5438,0,0,18.0351,0.1041
Neuroburg,Autonomous Vehicle,Solar Flare,Booming,Thursday,18,133.3942,1,0,82.9179,0.0696
AquaCity,Car,Snowy,Recession,Wednesday,10,43.2239,0,0,43.2239,0.2155
TechHaven,Autonomous Vehicle,Electromagnetic Storm,Booming,Wednesday,21,29.0723,0,0,25.7596,0.1517
TechHaven,Flying Car,Electromagnetic Storm,Stable,Saturday,16,51.6535,0,0,74.1438,0.1307
SolarisVille,Autonomous Vehicle,Snowy,Booming,Wednesday,12,107.2452,0,0,85.7962,0.2815
Ecoopolis,Autonomous Vehicle,Electromagnetic Storm,Booming,Monday,12,28.5256,0,0,22.8205,0.2704
SolarisVille,Autonomous Vehicle,Clear,Recession,Wednesday,12,20.3741,0,0,16.2993,0.2541
AquaCity,Autonomous Vehicle,Clear,Recession,Wednesday,4,81.7341,0,0,72.6525,0.0806
TechHaven,Autonomous Vehicle,Clear,Booming,Thursday,19,122.5506,0,0,103.1571,0.2037
